Nachname,Vorname,Position,Spiele,Tore,Fehlwürfe,Feldtore,7-Meter-Tore,Wurfquote,Assists,Technische Fehler,Steals,Blocks,Gelbe Karten,2 min Strafen,Rote Karten,Blaue Karten
Lindberg,Hans,RA,28,201,35,95,106,0.8494,9,9,10,0,0,4,0,0
Holm,Jacob,RM,27,111,66,111,0,0.6243,62,23,3,1,1,3,0,0
Andersson,Lasse Bredekjaer,RL,28,110,102,110,0,0.5183,62,34,12,8,5,9,0,0
Marsenic,Mijajlo,KM,27,82,26,82,0,0.7739,3,19,7,27,8,22,0,0
Wiede,Fabian,RR,22,62,53,62,0,0.5250,64,26,9,3,0,4,1,0
Vujovic,Milos,LA,28,53,20,48,5,0.7349,2,6,7,0,0,1,0,0
Matthes,Tim,LA,27,51,20,51,0,0.7183,3,8,11,1,0,3,0,0
Drux,Paul,RL,23,44,26,44,0,0.6338,34,11,0,3,1,5,0,0
Koch,Johan,KM,21,22,10,22,0,0.6875,0,9,0,0,1,5,0,0
Kopljar,Marko,RR,23,22,14,22,0,0.5946,11,6,2,13,6,10,1,0
Michalczik,Marian,RM,12,17,7,17,0,0.7083,21,6,2,0,2,2,0,0
Beneke,Max Christoph,RR,15,14,4,14,0,0.7273,1,12,0,0,3,1,0,0
Langhoff,Matthes,RL,23,9,6,9,0,0.5556,2,7,2,0,0,1,0,0
Lichtlein,Nils,RR,11,7,5,7,0,0.5833,4,5,1,0,0,0,0,0
Chrintz,Valter,RA,23,6,1,6,0,0.9167,0,1,3,0,0,1,1,0
Milosavljev,Dejan,TW,28,4,1,4,0,0.800,10,0,0,0,1,0,0,0
Morros de Argila,Viran,RL,23,3,0,3,0,1.0,2,0,2,7,2,8,1,0
Sauter,Moritz,RM,5,3,1,3,0,0.75,0,1,0,0,0,0,0,0
Vori,Igor,KM,4,1,2,1,0,0.3333,0,2,0,0,0,3,0,0
Heinis,Robin,RR,4,1,0,1,0,1.0,0,0,0,0,0,0,0,0
Jacobs,Jann Keno,KM,2,1,0,1,0,1.0,0,0,0,0,0,0,0,0
Oehlrich,Thomas,KM,1,0,0,0,0,0.0,0,0,0,0,1,1,0,0
Genz,Fredrik,TW,25,0,0,0,0,0.0,1,0,0,0,0,0,0,0
Ende,Moritz,RA,4,0,0,0,0,0.0,0,1,0,0,0,0,0,0
Kraus,Dustin,RL,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Ludwig,Lasse,TW,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Freihofer,Tim,LA,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Pereira,Francisco,KM,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Dieffenbacher,Ron Yunis,KM,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0
